Date,DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str,PercentStockSold
4/24/2013,APPTIGM,MIZUNO,TIGHT BT LAYERED,9090,M,35178,4/19/2013,0,0,1,37.49,7.98,NOV,
4/24/2013,SHORUNM,ASICS,RUSH 33,D,10,35181,4/16/2013,2,139.98,2,84.98,36.57,AA,
4/24/2013,SHORUNM,ASICS,RUSH 33,D,10.5,35182,4/19/2013,0,0,2,79.98,32.61,AA,
4/24/2013,APPH&H,MIZUNO,GLOVE BRTHE THERMO,9090,S,35184,4/13/2013,1,19.99,0,0,0,NOV,
4/24/2013,APPH&H,MIZUNO,GLOVE BRTHE THERMO,9090,S,35184,4/13/2013,0,0,1,9.99,11.91,WB,
4/24/2013,APPH&H,MIZUNO,GLOVE BRTHE THERMO,9090,M,35185,4/10/2013,-1,-19.99,1,17.99,51.08,AA,
4/24/2013,APPH&H,MIZUNO,GLOVE BRTHE THERMO,9090,M,35185,4/10/2013,-3,-59.97,1,13.99,37.1,NVL,
4/24/2013,APPH&H,MIZUNO,GLOVE BRTHE THERMO,9090,M,35185,4/10/2013,13,259.87,0,0,0,AAW,
4/24/2013,APPH&H,MIZUNO,GLOVE BRTHE THERMO,9090,L,35186,4/10/2013,-6,-119.94,0,0,0,NVL,
4/24/2013,APPH&H,MIZUNO,GLOVE BRTHE THERMO,9090,L,35186,4/10/2013,0,0,1,9.99,10.51,WB,
4/24/2013,APPH&H,MIZUNO,GLOVE BRTHE THERMO,9090,L,35186,4/10/2013,30,599.7,0,0,0,AAW,
4/24/2013,APPSOCM,BALEGA,SOCK HIDDEN COMFORT,838,S,35200,1/31/2013,-1,-11.99,0,0,0,NVL,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,M,35204,4/23/2013,9,116.91,2,25.98,63.28,AA,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,M,35204,4/23/2013,9,116.91,2,23.38,59.2,NOV,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,M,35204,4/23/2013,5,64.95,4,50.66,62.34,NVL,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,M,35204,4/23/2013,4,51.96,3,38.97,63.28,WB,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,M,35204,4/23/2013,12,155.88,0,0,0,TC2,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,M,35204,4/23/2013,10,129.9,1,12.99,63.28,TC1,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,M,35204,4/23/2013,6,77.94,3,38.97,63.28,AAW,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,L,35205,4/22/2013,12,155.88,0,0,0,AA,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,L,35205,4/22/2013,11,142.89,0,0,0,NOV,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,L,35205,4/22/2013,14,181.86,0,0,0,NVL,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,L,35205,4/22/2013,11,142.89,1,11.04,56.79,WB,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,L,35205,4/22/2013,12,155.88,0,0,0,TC2,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,L,35205,4/22/2013,10,129.9,0,0,0,TC1,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,L,35205,4/22/2013,16,207.84,0,0,0,AAW,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,XL,35206,3/29/2013,6,77.94,0,0,0,AA,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,XL,35206,3/29/2013,6,77.94,0,0,0,NOV,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,XL,35206,3/29/2013,10,129.9,0,0,0,NVL,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,XL,35206,3/29/2013,5,64.95,0,0,0,WB,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,XL,35206,3/29/2013,6,77.94,0,0,0,TC2,
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,XL,35206,3/29/2013,6,77.94,0,0,0,TC1,
