DCS,VC,Desc1,Attr,Size,Item#,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
SHORUNM,BROOKS,GHOST GTX,D,8.5,17074,1,129.99,0,0,0,TC1
SHORUNM,BROOKS,GHOST GTX,D,9,17075,1,129.99,0,0,0,NVL
SHORUNM,BROOKS,GHOST GTX,D,9,17075,1,129.99,0,0,0,TC1
SHORUNM,BROOKS,GHOST GTX,D,9.5,17076,2,259.98,0,0,0,AA
SHORUNM,BROOKS,GHOST GTX,D,9.5,17076,1,129.99,0,0,0,NOV
SHORUNM,BROOKS,GHOST GTX,D,9.5,17076,3,389.97,0,0,0,NVL
SHORUNM,BROOKS,GHOST GTX,D,9.5,17076,1,129.99,0,0,0,WB
SHORUNM,BROOKS,GHOST GTX,D,9.5,17076,1,129.99,0,0,0,TC2
SHORUNM,BROOKS,GHOST GTX,D,9.5,17076,1,129.99,0,0,0,TC1
SHORUNM,BROOKS,GHOST GTX,D,10,17077,1,129.99,1,129.99,50.63,WB
SHORUNM,BROOKS,GHOST GTX,D,10,17077,0,0,1,103.99,38.29,TC2
SHORUNM,BROOKS,GHOST GTX,D,10,17077,0,0,1,129.99,50.63,TC1
SHORUNM,BROOKS,GHOST GTX,D,10.5,17078,1,129.99,0,0,0,WB
SHORUNM,BROOKS,GHOST GTX,D,10.5,17078,2,259.98,0,0,0,TC1
SHORUNM,BROOKS,GHOST GTX,D,11.5,17080,1,129.99,0,0,0,NOV
SHORUNM,BROOKS,GHOST GTX,D,11.5,17080,2,259.98,0,0,0,NVL
SHORUNM,BROOKS,GHOST GTX,D,12,17081,1,129.99,0,0,0,AA
SHORUNM,BROOKS,GHOST GTX,D,12,17081,1,129.99,0,0,0,WB
SHORUNM,BROOKS,GHOST GTX,D,12.5,17082,1,129.99,0,0,0,NOV
SHORUNM,BROOKS,GHOST GTX,D,13,17083,1,129.99,0,0,0,TC2
MISFOO,JELLY,SPORT BEANS,FRT PUN,ONE,17125,30,37.5,6,7.38,52.85,AA
MISFOO,JELLY,SPORT BEANS,FRT PUN,ONE,17125,29,36.25,4,5,53.6,NOV
MISFOO,JELLY,SPORT BEANS,FRT PUN,ONE,17125,39,48.75,8,9.5,51.16,NVL
MISFOO,JELLY,SPORT BEANS,FRT PUN,ONE,17125,20,25,1,1.25,53.6,WB
MISFOO,JELLY,SPORT BEANS,FRT PUN,ONE,17125,61,76.25,21,26.25,53.6,TC2
MISFOO,JELLY,SPORT BEANS,FRT PUN,ONE,17125,-10,-12.5,54,67.5,53.6,TC1
MISFOO,JELLY,SPORT BEANS,FRT PUN,ONE,17125,17,21.25,5,6.25,53.6,AAW
MISFOO,JELLY,SPORT BEANS,BRY,ONE,17126,37,46.25,6,7.13,52.59,AA
MISFOO,JELLY,SPORT BEANS,BRY,ONE,17126,51,63.75,3,3.75,55.2,NOV
MISFOO,JELLY,SPORT BEANS,BRY,ONE,17126,34,42.5,14,16.07,50.84,NVL
MISFOO,JELLY,SPORT BEANS,BRY,ONE,17126,48,60,2,2.5,54.8,WB
MISFOO,JELLY,SPORT BEANS,BRY,ONE,17126,29,36.25,22,27.5,55.02,TC2
MISFOO,JELLY,SPORT BEANS,BRY,ONE,17126,40,50,3,3.75,54.67,TC1
MISFOO,JELLY,SPORT BEANS,BRY,ONE,17126,60,75,4,4.44,48.87,AAW
MISSW A,SPEEDO,TRAINING FINS,,,17127,1,26.99,0,0,0,AAW
APPSHIW,BROOKS,TOP EPI SUP II TNK,943,M,17133,3,161.97,0,0,0,AA
APPSHIW,BROOKS,TOP EPI SUP II TNK,943,M,17133,3,161.97,0,0,0,NOV
APPSHIW,BROOKS,TOP EPI SUP II TNK,943,M,17133,1,53.99,2,102.58,57.89,NVL
APPSHIW,BROOKS,TOP EPI SUP II TNK,943,M,17133,3,161.97,0,0,0,WB
APPSHIW,BROOKS,TOP EPI SUP II TNK,943,M,17133,3,161.97,0,0,0,TC2
APPSHIW,BROOKS,TOP EPI SUP II TNK,943,M,17133,3,161.97,0,0,0,TC1
APPSHIW,BROOKS,TOP EPI SUP II TNK,943,M,17133,3,161.97,0,0,0,AAW
APPSHIW,BROOKS,TOP EPI SUP II TNK,943,L,17135,1,53.99,0,0,0,NOV
APPSOCM,FEETUR,SOCK EM UL NO SHOW,GRY/BLU,M,17141,6,89.94,2,26.98,49.96,AA
APPSOCM,FEETUR,SOCK EM UL NO SHOW,GRY/BLU,M,17141,8,119.92,3,35.23,42.52,NOV
APPSOCM,FEETUR,SOCK EM UL NO SHOW,GRY/BLU,M,17141,11,164.89,2,28.48,52.6,NVL
APPSOCM,FEETUR,SOCK EM UL NO SHOW,GRY/BLU,M,17141,10,149.9,1,14.99,54.97,WB
APPSOCM,FEETUR,SOCK EM UL NO SHOW,GRY/BLU,M,17141,8,119.92,1,14.99,54.97,TC2
APPSOCM,FEETUR,SOCK EM UL NO SHOW,GRY/BLU,M,17141,17,254.83,0,0,0,AAW
SHORUNM,NB,M1400,D,7,17146,0,0,1,80.99,42.55,NOV
SHORUNM,NB,M1400,D,8.5,17150,-1,-99.99,0,0,0,TC2
SHORUNM,NB,M1400,D,9,17152,2,199.98,0,0,0,NVL
SHORUNM,NB,M1400,D,9,17152,2,199.98,-1,-49.99,4.34,WB
SHORUNM,NB,M1400,D,9,17152,1,99.99,0,0,0,TC1
SHORUNM,NB,M1400,D,9.5,17154,2,199.98,0,0,0,TC1
SHORUNM,NB,M1400,D,10,17155,-1,-99.99,0,0,0,NVL
SHORUNM,NB,M1400,D,10,17155,2,199.98,0,0,0,WB
SHORUNM,NB,M1400,D,10,17155,0,0,1,71.99,36.59,AAW
SHORUNM,NB,M1400,D,10.5,17157,1,99.99,0,0,0,WB
APPSOCW,THORLO,SOCK TC,4,11,17163,7,104.93,0,0,0,AAW
SHORUNM,NB,M1400,D,11.5,17164,1,99.99,0,0,0,NOV
MISACCACC,HAMMER,FLASK GEL,RED,5 SRV,17166,3,8.97,0,0,0,AA
MISACCACC,HAMMER,FLASK GEL,RED,5 SRV,17166,9,26.91,0,0,0,NOV
MISACCACC,HAMMER,FLASK GEL,RED,5 SRV,17166,13,38.87,0,0,0,NVL
MISACCACC,HAMMER,FLASK GEL,RED,5 SRV,17166,1,2.99,0,0,0,WB
MISFOO,JELLY,SPORT BEANS,CHR,ONE,17175,37,46.25,10,12.26,51.88,AA
MISFOO,JELLY,SPORT BEANS,CHR,ONE,17175,36,45,4,4.38,46.12,NOV
MISFOO,JELLY,SPORT BEANS,CHR,ONE,17175,28,35,16,19.21,50.86,NVL
MISFOO,JELLY,SPORT BEANS,CHR,ONE,17175,19,23.75,1,1.25,52.8,WB
MISFOO,JELLY,SPORT BEANS,CHR,ONE,17175,34,42.5,11,13.75,52.8,TC2
MISFOO,JELLY,SPORT BEANS,CHR,ONE,17175,1,1.25,46,57.5,52.8,TC1
MISFOO,JELLY,SPORT BEANS,CHR,ONE,17175,36,45,4,5,52.8,AAW
MISFOO,GATORA,ENDURANCE FORMULA,LEM LIM,32 OZ,17179,3,104.97,0,0,0,AA
MISFOO,GATORA,ENDURANCE FORMULA,LEM LIM,32 OZ,17179,3,104.97,1,31.49,72.37,NOV
MISFOO,GATORA,ENDURANCE FORMULA,LEM LIM,32 OZ,17179,3,104.97,0,0,0,NVL
MISFOO,GATORA,ENDURANCE FORMULA,LEM LIM,32 OZ,17179,5,174.95,0,0,0,WB
MISFOO,GATORA,ENDURANCE FORMULA,LEM LIM,32 OZ,17179,3,104.97,0,0,0,AAW
MISMED,PRO TE,PATELLAR TENDON STP,,M,17195,0,0,2,33.98,49.97,AA
MISMED,PRO TE,PATELLAR TENDON STP,,M,17195,5,84.95,2,33.98,49.97,NOV
MISMED,PRO TE,PATELLAR TENDON STP,,M,17195,7,118.93,1,16.99,49.97,NVL
MISMED,PRO TE,PATELLAR TENDON STP,,M,17195,4,67.96,0,0,0,WB
MISMED,PRO TE,PATELLAR TENDON STP,,M,17195,2,33.98,2,33.98,49.97,TC2
MISMED,PRO TE,PATELLAR TENDON STP,,M,17195,3,50.97,0,0,0,TC1
MISMED,PRO TE,PATELLAR TENDON STP,,M,17195,11,186.89,3,50.97,49.97,AAW
MISMED,PRO TE,PATELLAR TENDON STP,,L,17196,-1,-16.99,4,62.86,45.91,AA
MISMED,PRO TE,PATELLAR TENDON STP,,L,17196,3,50.97,1,16.99,49.97,NOV
MISMED,PRO TE,PATELLAR TENDON STP,,L,17196,5,84.95,1,16.99,49.97,NVL
MISMED,PRO TE,PATELLAR TENDON STP,,L,17196,2,33.98,0,0,0,WB
MISMED,PRO TE,PATELLAR TENDON STP,,L,17196,1,16.99,1,16.99,49.97,TC2
MISMED,PRO TE,PATELLAR TENDON STP,,L,17196,3,50.97,1,16.99,49.97,TC1
MISMED,PRO TE,PATELLAR TENDON STP,,L,17196,7,118.93,1,15.29,44.41,AAW
MISMED,PRO TE,PATELLAR TENDON STP,,XL,17199,3,50.97,0,0,0,AA
MISMED,PRO TE,PATELLAR TENDON STP,,XL,17199,2,33.98,0,0,0,NOV
MISMED,PRO TE,PATELLAR TENDON STP,,XL,17199,2,33.98,2,33.98,49.97,NVL
MISMED,PRO TE,PATELLAR TENDON STP,,XL,17199,4,67.96,0,0,0,WB
MISMED,PRO TE,PATELLAR TENDON STP,,XL,17199,2,33.98,0,0,0,TC2
MISMED,PRO TE,PATELLAR TENDON STP,,XL,17199,3,50.97,0,0,0,TC1
MISMED,PRO TE,PATELLAR TENDON STP,,XL,17199,6,101.94,0,0,0,AAW
MISFOO,GATORA,ENDURANCE FORMULA,ORG,32 OZ,17204,4,139.96,0,0,0,AA
MISFOO,GATORA,ENDURANCE FORMULA,ORG,32 OZ,17204,4,139.96,0,0,0,NOV
MISFOO,GATORA,ENDURANCE FORMULA,ORG,32 OZ,17204,2,69.98,0,0,0,NVL
MISFOO,GATORA,ENDURANCE FORMULA,ORG,32 OZ,17204,6,209.94,0,0,0,WB
MISFOO,GATORA,ENDURANCE FORMULA,ORG,32 OZ,17204,4,139.96,0,0,0,AAW
SHORUNM,NB,M1400,D,12,17210,1,99.99,0,0,0,NVL
SHORUNM,NB,M1400,D,12,17210,1,99.99,0,0,0,TC1
SHORUNM,NB,M1400,D,12.5,17211,4,399.96,0,0,0,TC1
APPH&H,SAUCON,HAT DRY LOOS BEANIE,WHVPP,ONE,17212,1,21.99,0,0,0,TC1
APPH&H,SAUCON,HAT DRY LOOS BEANIE,WHVPP,ONE,17212,2,43.98,0,0,0,AAW
SHOWALW,NB,WW928WT,D,7,17214,1,129.99,0,0,0,TC1
SHOWALW,NB,WW928WT,D,7.5,17215,1,129.99,0,0,0,TC1
SHOWALW,NB,WW928WT,D,8.5,17217,1,129.99,0,0,0,TC1
APPSHOM,BROOKS,SHORT REV PACER,19,L,17222,1,31.99,0,0,0,NOV
APPH&H,SAUCON,HAT RUN VIBE BEANIE,BKVP,ONE,17226,-1,-19.99,0,0,0,NOV
APPH&H,SAUCON,HAT RUN VIBE BEANIE,BKVP,ONE,17226,2,39.98,0,0,0,AAW
APPH&H,SAUCON,HAT RUN VIBE BEANIE,WHVPP,ONE,17234,7,139.93,0,0,0,AAW
SHOWALW,NB,WW928WT,2E,10,17242,1,129.99,0,0,0,NVL
APPSHIW,INSPOR,TOP DRYSPORT + TAN,,,17245,1,24.99,0,0,0,AA
SHORUNM,NB,M1400,D,13,17247,1,99.99,1,99.99,52.23,NVL
SHORUNM,NB,M1400,D,13,17247,1,99.99,0,0,0,TC1
APPH&H,BROOKS,HEADBAND INFINITI,305,ONE,17248,-1,-19.99,0,0,0,TC2
APPVESW,BROOKS,VEST ESSENTIAL RUN,335,XL,17253,0,0,1,25,1,AAW
APPSOCM,FITSOK,SOCK NO SHOW 3 PACK,100,S,17255,5,124.95,1,24.99,52.94,NOV
APPSOCM,FITSOK,SOCK NO SHOW 3 PACK,100,S,17255,5,124.95,1,24.99,52.94,NVL
APPSOCM,FITSOK,SOCK NO SHOW 3 PACK,100,S,17255,6,149.94,3,74.97,52.94,TC2
APPSOCM,FITSOK,SOCK NO SHOW 3 PACK,100,S,17255,7,174.93,0,0,0,TC1
APPSOCM,FITSOK,SOCK NO SHOW 3 PACK,100,S,17255,4,99.96,1,21.24,44.63,AAW
MISACCACC,NATHAN,TIMING CHIP ANKLEBND,,,17256,-1,-4.99,0,0,0,NOV
MISACCACC,NATHAN,TIMING CHIP ANKLEBND,,,17256,1,4.99,0,0,0,TC2
APPH&H,BROOKS,HAT INFINITI BEANIE,977,ONE,17260,1,23.99,0,0,0,AA
APPH&H,BROOKS,HAT INFINITI BEANIE,977,ONE,17260,2,47.98,0,0,0,NVL
APPH&H,BROOKS,HAT INFINITI BEANIE,977,ONE,17260,8,191.92,0,0,0,AAW
APPSHIM,BROOKS,TOP INFINITI 1/2 ZP,8,L,17277,0,0,1,59.99,43.74,TC2
APPSOCW,SMARTW,SOCK PHD RUN UL MIC,44,S,17279,1,15.99,0,0,0,NOV
APPSOCW,SMARTW,SOCK PHD RUN UL MIC,44,S,17279,0,0,1,6.08,-14.8,NVL
APPSOCW,SMARTW,SOCK PHD RUN UL MIC,44,S,17279,3,47.97,0,0,0,WB
APPSOCW,SMARTW,SOCK PHD RUN UL MIC,44,S,17279,1,15.99,0,0,0,TC1
APPSOCW,SMARTW,SOCK PHD RUN UL MIC,44,S,17279,2,31.98,2,30.38,54.05,AAW
APPH&H,BROOKS,BALACLAVA,1,ONE,17280,45,"1,124.55",0,0,0,AAW
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,III,17282,3,194.97,0,0,0,NOV
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,III,17282,3,194.97,0,0,0,NVL
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,III,17282,2,129.98,1,64.99,58.52,WB
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,III,17282,1,64.99,1,51.99,48.14,TC2
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,III,17282,2,129.98,0,0,0,TC1
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,III,17282,1,64.99,0,0,0,AAW
MISMED,SUPERF,INSOLE EF FLAT 3/4,WMN,,17283,1,19.99,0,0,0,TC2
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,IV,17284,3,194.97,0,0,0,AA
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,IV,17284,2,129.98,0,0,0,NOV
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,IV,17284,2,129.98,0,0,0,NVL
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,IV,17284,4,259.96,0,0,0,WB
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,IV,17284,1,64.99,0,0,0,TC1
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,IV,17284,3,194.97,0,0,0,AAW
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,V,17287,1,64.99,0,0,0,NOV
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,V,17287,9,584.91,3,122.97,34.23,TC2
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,V,17287,1,64.99,0,0,0,TC1
APPSOCM,CEP,SOCK COMP RUN PROG,NEO,V,17287,1,64.99,0,0,0,AAW
APPSUPM,CEP,CALF SLEEVE PROG+,NEO,III,17288,-2,-79.98,1,39.99,55.09,TC2
APPSUPM,CEP,CALF SLEEVE PROG+,NEO,IV,17289,1,39.99,0,0,0,NOV
APPSUPM,CEP,CALF SLEEVE PROG+,NEO,IV,17289,2,79.98,0,0,0,WB
APPSUPM,CEP,CALF SLEEVE PROG+,NEO,V,17290,1,39.99,1,39.99,55.09,NOV
APPSUPM,CEP,CALF SLEEVE PROG+,NEO,V,17290,1,39.99,0,0,0,AAW
APPSUPW,CEP,CALF SLEEVE PROG+,NEO,II,17291,1,39.99,0,0,0,AA
APPSUPW,CEP,CALF SLEEVE PROG+,NEO,II,17291,2,79.98,0,0,0,NOV
APPSUPW,CEP,CALF SLEEVE PROG+,NEO,II,17291,2,79.98,0,0,0,NVL
APPSUPW,CEP,CALF SLEEVE PROG+,NEO,II,17291,1,39.99,0,0,0,WB
APPSUPW,CEP,CALF SLEEVE PROG+,NEO,II,17291,2,79.98,0,0,0,TC1
APPSUPW,CEP,CALF SLEEVE ALLSPRT,NEO,III,17292,0,0,1,39.99,55.09,TC2
MISACCACC,CREATI,MAGNET RUN MI,WHT/BLK,ONE,17293,-3,-14.97,0,0,0,NOV
MISACCACC,CREATI,MAGNET RUN MI,WHT/BLK,ONE,17293,-1,-4.99,0,0,0,NVL
MISACCACC,CREATI,MAGNET RUN MI,WHT/BLK,ONE,17293,-3,-14.97,1,4.99,49.9,TC2
MISACCACC,CREATI,MAGNET RUN MI,WHT/BLK,ONE,17293,-6,-29.94,0,0,0,AAW
MISACCACC,CREATI,MAGNET RUN A2,WHT/BLK,ONE,17294,29,144.71,3,14.97,47.36,AA
MISACCACC,CREATI,MAGNET RUN A2,WHT/BLK,ONE,17294,19,94.81,2,9.98,47.29,AAW
APPSOCM,FEETUR,SOCK UL NO SHOW TAB,WHT,S,17295,9,98.91,0,0,0,NOV
APPSOCM,FEETUR,SOCK UL NO SHOW TAB,WHT,L,17297,1,10.99,4,42.86,58,NOV
APPSOCM,FEETUR,SOCK UL NO SHOW TAB,WHT,XL,17298,4,43.96,0,0,0,NOV
APPSHOM,ASICS,SHORT CORE POCKETED,94,S,17300,1,29.99,1,29.99,57.99,AA
APPSHOM,ASICS,SHORT CORE POCKETED,94,S,17300,2,59.98,0,0,0,NOV
APPSHOM,ASICS,SHORT CORE POCKETED,94,S,17300,1,29.99,0,0,0,NVL
APPSHOM,ASICS,SHORT CORE POCKETED,94,S,17300,2,59.98,0,0,0,WB
APPSHOM,ASICS,SHORT CORE POCKETED,94,S,17300,2,59.98,0,0,0,TC2
APPSHOM,ASICS,SHORT CORE POCKETED,94,S,17300,2,59.98,0,0,0,TC1
APPSHOM,ASICS,SHORT CORE POCKETED,94,S,17300,2,59.98,0,0,0,AAW
APPSHOM,ASICS,SHORT CORE POCKETED,94,M,17301,1,29.99,1,29.99,57.99,AA
APPSHOM,ASICS,SHORT CORE POCKETED,94,M,17301,3,89.97,0,0,0,NOV
APPSHOM,ASICS,SHORT CORE POCKETED,94,M,17301,1,29.99,0,0,0,NVL
APPSHOM,ASICS,SHORT CORE POCKETED,94,M,17301,1,29.99,0,0,0,WB
APPSHOM,ASICS,SHORT CORE POCKETED,94,M,17301,3,89.97,0,0,0,TC2
APPSHOM,ASICS,SHORT CORE POCKETED,94,M,17301,3,89.97,0,0,0,TC1
APPSHOM,ASICS,SHORT CORE POCKETED,94,M,17301,0,0,1,29.99,57.99,AAW
APPH&H,TRAILH,HAT BE SEEN POCKET,BLK,ONE,17303,2,51.98,0,0,0,AAW
APPH&H,TRAILH,GLOVE ELEMENTS,BLK/GRY,S,17304,1,19.99,0,0,0,AAW
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,S,17308,3,56.97,0,0,0,AA
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,S,17308,3,56.97,0,0,0,NOV
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,S,17308,5,94.95,0,0,0,NVL
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,S,17308,3,56.97,0,0,0,WB
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,S,17308,1,18.99,1,18.99,60.51,TC2
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,S,17308,2,37.98,0,0,0,TC1
MISMED,PRO TE,SHIN SPLINTS WRAP,,ONE,17309,1,23.99,0,0,0,NOV
MISMED,PRO TE,ANKLE SLEEVE,,S,17310,4,55.96,0,0,0,AA
MISMED,PRO TE,ANKLE SLEEVE,,S,17310,2,27.98,0,0,0,NOV
MISMED,PRO TE,ANKLE SLEEVE,,S,17310,8,111.92,0,0,0,NVL
MISMED,PRO TE,ANKLE SLEEVE,,S,17310,1,13.99,1,12.59,61.24,WB
MISMED,PRO TE,ANKLE SLEEVE,,S,17310,3,41.97,0,0,0,TC2
MISMED,PRO TE,ANKLE SLEEVE,,S,17310,4,55.96,0,0,0,TC1
MISMED,PRO TE,ANKLE SLEEVE,,S,17310,4,55.96,0,0,0,AAW
MISMED,PRO TE,THIGH SLEEVE,,S,17311,4,67.96,1,15.29,57.75,AA
MISMED,PRO TE,THIGH SLEEVE,,S,17311,4,67.96,0,0,0,NOV
MISMED,PRO TE,THIGH SLEEVE,,S,17311,4,67.96,1,16.99,61.98,NVL
MISMED,PRO TE,THIGH SLEEVE,,S,17311,3,50.97,0,0,0,WB
MISMED,PRO TE,THIGH SLEEVE,,S,17311,3,50.97,0,0,0,TC2
MISMED,PRO TE,THIGH SLEEVE,,S,17311,3,50.97,0,0,0,TC1
MISMED,PRO TE,THIGH SLEEVE,,S,17311,5,84.95,0,0,0,AAW
MISMED,PRO TE,ACHILLES TENDON SPRT,,ONE,17312,1,23.99,1,23.99,58.73,AA
MISMED,PRO TE,ACHILLES TENDON SPRT,,ONE,17312,3,71.97,1,23.99,58.57,NOV
MISMED,PRO TE,ACHILLES TENDON SPRT,,ONE,17312,5,119.95,0,0,0,NVL
MISMED,PRO TE,ACHILLES TENDON SPRT,,ONE,17312,3,71.97,0,0,0,WB
MISMED,PRO TE,ACHILLES TENDON SPRT,,ONE,17312,1,23.99,0,0,0,TC2
MISMED,PRO TE,ACHILLES TENDON SPRT,,ONE,17312,2,47.98,0,0,0,TC1
MISMED,PRO TE,ACHILLES TENDON SPRT,,ONE,17312,10,239.9,0,0,0,AAW
MISMED,PRO TE,ARCH SUPPORT,,M,17313,1,23.99,0,0,0,AAW
MISMED,PRO TE,TOE CAPS 4 PACK,,ONE,17314,6,101.94,0,0,0,AA
MISMED,PRO TE,TOE CAPS 4 PACK,,ONE,17314,4,67.96,0,0,0,NOV
MISMED,PRO TE,TOE CAPS 4 PACK,,ONE,17314,9,152.91,0,0,0,NVL
MISMED,PRO TE,TOE CAPS 4 PACK,,ONE,17314,5,84.95,0,0,0,WB
MISMED,PRO TE,TOE CAPS 4 PACK,,ONE,17314,3,50.97,0,0,0,TC2
MISMED,PRO TE,TOE CAPS 4 PACK,,ONE,17314,2,33.98,0,0,0,TC1
MISMED,PRO TE,TOE CAPS 4 PACK,,ONE,17314,4,67.96,3,38.97,50.01,AAW
MISMED,PRO TE,ANKLE SLEEVE,,XL,17315,3,41.97,0,0,0,AA
MISMED,PRO TE,ANKLE SLEEVE,,XL,17315,4,55.96,0,0,0,NOV
MISMED,PRO TE,ANKLE SLEEVE,,XL,17315,14,195.86,0,0,0,NVL
MISMED,PRO TE,ANKLE SLEEVE,,XL,17315,4,55.96,0,0,0,WB
MISMED,PRO TE,ANKLE SLEEVE,,XL,17315,4,55.96,0,0,0,TC2
MISMED,PRO TE,ANKLE SLEEVE,,XL,17315,5,69.95,0,0,0,TC1
MISMED,PRO TE,ANKLE SLEEVE,,XL,17315,8,111.92,0,0,0,AAW
MISMED,PRO TE,ANKLE SLEEVE,,L,17317,3,41.97,0,0,0,AA
MISMED,PRO TE,ANKLE SLEEVE,,L,17317,5,69.95,0,0,0,NOV
MISMED,PRO TE,ANKLE SLEEVE,,L,17317,5,69.95,0,0,0,NVL
MISMED,PRO TE,ANKLE SLEEVE,,L,17317,3,41.97,0,0,0,WB
MISMED,PRO TE,ANKLE SLEEVE,,L,17317,4,55.96,0,0,0,TC2
MISMED,PRO TE,ANKLE SLEEVE,,L,17317,1,13.99,0,0,0,TC1
MISMED,PRO TE,ANKLE SLEEVE,,L,17317,8,111.92,0,0,0,AAW
APPSOCW,SMARTW,SOCK PHD RUN UL MIC,44,M,17318,1,15.99,0,0,0,WB
SHORUNW,BROOKS,GLYCERIN 10,2A,9,17319,1,139.99,0,0,0,WB
APPTIGM,CW-X,TIGHT PRO,1,,17320,1,109.99,0,0,0,NOV
MISMED,PRO TE,ANKLE SLEEVE,,M,17323,4,55.96,0,0,0,AA
MISMED,PRO TE,ANKLE SLEEVE,,M,17323,3,41.97,0,0,0,NOV
MISMED,PRO TE,ANKLE SLEEVE,,M,17323,15,209.85,0,0,0,NVL
MISMED,PRO TE,ANKLE SLEEVE,,M,17323,2,27.98,2,27.98,64.26,WB
MISMED,PRO TE,ANKLE SLEEVE,,M,17323,2,27.98,0,0,0,TC2
MISMED,PRO TE,ANKLE SLEEVE,,M,17323,4,55.96,0,0,0,TC1
MISMED,PRO TE,ANKLE SLEEVE,,M,17323,9,125.91,0,0,0,AAW
MISMED,PRO TE,ARCH SUPPORT,,L,17324,2,47.98,0,0,0,NOV
MISMED,PRO TE,ARCH SUPPORT,,L,17324,2,47.98,0,0,0,WB
MISMED,PRO TE,ARCH SUPPORT,,L,17324,4,95.96,0,0,0,AAW
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,M,17325,1,18.99,2,34.18,56.11,AA
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,M,17325,5,94.95,0,0,0,NOV
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,M,17325,5,94.95,1,18.99,60.51,NVL
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,M,17325,2,37.98,2,37.98,60.51,WB
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,M,17325,2,37.98,0,0,0,TC2
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,M,17325,2,37.98,0,0,0,TC1
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,M,17325,2,37.98,0,0,0,AAW
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,L,17326,4,75.96,0,0,0,AA
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,L,17326,6,113.94,0,0,0,NOV
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,L,17326,4,75.96,0,0,0,NVL
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,L,17326,3,56.97,0,0,0,WB
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,L,17326,1,18.99,1,18.99,60.51,TC2
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,L,17326,2,37.98,0,0,0,TC1
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,XL,17328,2,37.98,0,0,0,AA
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,XL,17328,4,75.96,0,0,0,NOV
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,XL,17328,6,113.94,0,0,0,NVL
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,XL,17328,3,56.97,0,0,0,WB
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,XL,17328,2,37.98,0,0,0,TC2
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,XL,17328,2,37.98,0,0,0,TC1
MISMED,PRO TE,KNEE SLEEVE OPEN PAT,,XL,17328,2,37.98,0,0,0,AAW
MISMED,PRO TE,THIGH SLEEVE,,M,17329,4,67.96,0,0,0,AA
MISMED,PRO TE,THIGH SLEEVE,,M,17329,5,84.95,0,0,0,NOV
MISMED,PRO TE,THIGH SLEEVE,,M,17329,6,101.94,0,0,0,NVL
MISMED,PRO TE,THIGH SLEEVE,,M,17329,2,33.98,0,0,0,WB
MISMED,PRO TE,THIGH SLEEVE,,M,17329,3,50.97,0,0,0,TC2
MISMED,PRO TE,THIGH SLEEVE,,M,17329,5,84.95,0,0,0,TC1
MISMED,PRO TE,THIGH SLEEVE,,M,17329,5,84.95,0,0,0,AAW
MISFOO,JELLY,SPORT BEANS,WTR,ONE,17334,23,28.75,2,2.5,52.8,AA
MISFOO,JELLY,SPORT BEANS,WTR,ONE,17334,28,35,6,7.5,52.8,NOV
MISFOO,JELLY,SPORT BEANS,WTR,ONE,17334,6,7.5,6,6.95,49.06,NVL
