DCS,VC,Desc1,Attr,Size,Item#,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
SHORUNM,BROOKS,RAVENNA 4,D,9,4252,1,109.99,0,0,0,NVL
SHORUNM,BROOKS,RAVENNA 4,D,9,4252,2,219.98,0,0,0,WB
SHORUNM,BROOKS,RAVENNA 4,D,9,4252,1,109.99,0,0,0,TC2
SHORUNM,BROOKS,RAVENNA 4,D,9,4252,3,329.97,0,0,0,TC1
SHORUNM,BROOKS,RAVENNA 4,D,9,4252,1,109.99,0,0,0,AAW
SHORUNM,BROOKS,RAVENNA 4,D,14,4258,0,0,1,109.99,48.3,NOV
SHORUNM,BROOKS,RAVENNA 4,D,14,4258,4,439.96,0,0,0,WB
SHORUNW,BROOKS,RAVENNA 4,B,6,4262,1,109.99,0,0,0,AA
SHORUNW,BROOKS,RAVENNA 4,B,6,4262,0,0,1,98.99,44.51,NOV
SHORUNW,BROOKS,RAVENNA 4,B,6,4262,1,109.99,0,0,0,TC1
SHORUNW,BROOKS,RAVENNA 4,B,6,4262,0,0,1,98.99,44.51,AAW
SHORUNM,BROOKS,PUREFLOW 2,D,8,4267,1,99.99,0,0,0,AA
SHORUNM,BROOKS,PUREFLOW 2,D,12.5,4275,1,99.99,0,0,0,NOV
SHORUNM,BROOKS,PUREFLOW 2,D,12.5,4275,1,99.99,0,0,0,WB
SHORUNM,ADIDAS,ADIZERO ADIOS 2,D,7.5,4282,1,114.99,0,0,0,NOV
APPSHOW,ASICS,"SHORT 4"" COURT",81,L,4289,1,23.99,0,0,0,TC1
APPSINM,TRI2XU,TOP COMP TRI SINGLT,CHR/BTO,XL,4291,3,239.97,0,0,0,NOV
APPSINM,TRI2XU,TOP COMP TRI SINGLT,CHR/BTO,XL,4291,1,79.99,0,0,0,AAW
SHORUNW,BROOKS,PUREFLOW 2,B,6.5,4292,0,0,1,99.99,51.6,AAW
APPSHOM,TRI2XU,"SHORT COMP TRI 9""",BLK/BTO,S,4293,2,169.98,0,0,0,NOV
APPSHOM,TRI2XU,"SHORT COMP TRI 9""",BLK/BTO,S,4293,2,169.98,0,0,0,AAW
