DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,L,263,4/18/2013,1,39.99,0,0,0,NVL
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,L,263,4/18/2013,1,39.99,0,0,0,AAW
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,5/17/2013,1,31.99,0,0,0,NOV
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,5/17/2013,1,31.99,0,0,0,NVL
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,5/17/2013,2,63.98,0,0,0,WB
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,5/17/2013,2,63.98,0,0,0,TC2
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,5/17/2013,2,63.98,0,0,0,TC1
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,5/17/2013,1,31.99,0,0,0,AAW
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,5/18/2013,2,63.98,0,0,0,AA
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,5/18/2013,3,95.97,0,0,0,NOV
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,5/18/2013,1,31.99,0,0,0,NVL
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,5/18/2013,3,95.97,0,0,0,WB
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,5/18/2013,1,31.99,0,0,0,TC2
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,5/18/2013,2,63.98,0,0,0,TC1
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,5/18/2013,2,63.98,0,0,0,AAW
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,4/14/2013,2,63.98,0,0,0,NOV
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,4/14/2013,1,31.99,0,0,0,NVL
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,4/14/2013,2,63.98,0,0,0,WB
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,4/14/2013,1,31.99,0,0,0,TC2
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,4/14/2013,1,31.99,0,0,0,TC1
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,4/14/2013,2,63.98,0,0,0,AAW
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,XL,267,5/10/2013,1,31.99,0,0,0,AA
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,XL,267,5/10/2013,1,31.99,0,0,0,AAW
EVEEVE,RUNFIT,EVENT-TC N TRAINING,,,277,3/12/2013,-11,"-1,650.00",0,0,0,TC2
EVEEVE,RUNFIT,EVENT-TC N TRAINING,,,277,3/12/2013,-2,-300,0,0,0,TC1
APPSHIW,YMX,TOP HENNA FLOWR TNK,GRS,S,282,5/5/2013,-1,-58.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICT-WHT VELCRO,D,8.5,289,5/14/2008,1,89.99,0,0,0,AAW
SHOWALW,NB,WW812WT,D,7,290,11/30/2012,1,104.99,0,0,0,NVL
SHOWALW,NB,WW812WT,D,8,304,10/27/2012,0,0,1,94.49,47.77,TC1
MISACCACC,GARMIN,WATCHBAND 205,BLK,ONE,313,1/14/2011,1,14.99,0,0,0,AA
SHOWALW,NB,WW812WT,D,8.5,314,1/3/2013,0,0,1,94.49,47.77,WB
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,XS,318,3/9/2013,2,129.98,0,0,0,AAW
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,M,320,3/1/2013,2,129.98,0,0,0,AAW
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,L,321,3/31/2012,1,64.99,0,0,0,NOV
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,L,321,3/31/2012,1,64.99,0,0,0,AAW
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,XL,322,12/21/2010,1,64.99,0,0,0,AAW
APPPANW,SMARTW,PANT MICROWT BOTTOM,0,L,326,3/25/2013,1,64.99,0,0,0,TC2
SHORUNM,BROOKS,SUMMON,D,12,346,6/23/2012,0,0,1,53.99,12.15,TC1
MISACCACC,RUNFIT,MARTIAN MAGNET,,,351,,30,149.7,0,0,0,AAW
MISACCACC,RUNFIT,MARTIAN MAGNET,,,352,,30,149.7,0,0,0,AAW
MISACCACC,RUNFIT,MARTIAN MAGNET,,,353,5/2/2013,29,144.71,0,0,0,AAW
SHORUNW,BROOKS,SUMMON,B,7.5,354,,0,0,1,50,11.6,TC1
MISACCACC,RUNFIT,MARTIAN MAGNET,,,354,5/14/2013,25,124.75,0,0,0,AAW
APPTIGW,TRI2XU,TIGHT ELITE COMPRSN,MED,XS,374,,1,139.99,0,0,0,NOV
APPSHIM,ASICS,TOP RIB TECH SS,51,M,395,5/10/2013,-1,-34.99,0,0,0,NVL
MISELE,TIMEX,WATCH IRON 30 OVER,BLK/RED,FULL,399,5/6/2013,0,0,2,93.48,41.93,AA
MISELE,TIMEX,WATCH IRON 30 OVER,BLK/RED,FULL,399,5/6/2013,1,54.99,3,131.97,38.3,NVL
MISELE,TIMEX,WATCH IRON 30 OVER,BLK/RED,FULL,399,5/6/2013,2,109.98,0,0,0,WB
MISELE,TIMEX,WATCH IRON 30 OVER,BLK/RED,FULL,399,5/6/2013,0,0,3,164.97,50.65,TC2
MISELE,TIMEX,WATCH IRON 30 OVER,BLK/RED,FULL,399,5/6/2013,2,109.98,1,54.99,50.65,TC1
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,5/12/2013,1,39.99,0,0,0,AA
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,5/12/2013,2,79.98,0,0,0,NVL
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,5/12/2013,2,79.98,0,0,0,WB
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,5/12/2013,1,39.99,0,0,0,TC2
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,4/30/2013,1,39.99,0,0,0,AA
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,4/30/2013,1,39.99,0,0,0,NOV
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,4/30/2013,2,79.98,0,0,0,WB
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,4/30/2013,1,39.99,0,0,0,TC2
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,V,408,4/26/2013,1,39.99,0,0,0,AA
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,V,408,4/26/2013,1,39.99,0,0,0,NOV
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,V,408,4/26/2013,1,39.99,0,0,0,TC1
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,V,408,4/26/2013,1,39.99,0,0,0,AAW
MISMED,LUMOS,TAPE KT PRE CUT,BLK,ONE,414,9/10/2012,0,0,2,29.98,56.64,AA
MISMED,LUMOS,TAPE KT PRE CUT,BLU,ONE,415,1/21/2013,0,0,1,13.49,51.82,NOV
MISMED,LUMOS,TAPE KT PRE CUT,PNK,ONE,416,9/5/2012,0,0,4,58.46,55.53,TC2
SHOSPE,SAUCON,SPITFIRE 2,D,11.5,417,4/23/2013,-1,-64.99,0,0,0,NOV
SHOSPE,SAUCON,SPITFIRE 2,D,11.5,417,4/23/2013,1,64.99,0,0,0,WB
SHOSPE,SAUCON,SPITFIRE 2,D,12,418,4/23/2013,-1,-64.99,0,0,0,NOV
SHOSPE,SAUCON,SPITFIRE 2,D,12,418,4/23/2013,3,194.97,0,0,0,WB
SHOSPE,SAUCON,SPITFIRE 2,D,12,418,4/23/2013,-1,-64.99,0,0,0,AAW
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,S,420,5/5/2013,2,97.98,0,0,0,AA
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,S,420,5/5/2013,2,97.98,0,0,0,WB
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,S,420,5/5/2013,1,48.99,0,0,0,AAW
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,M,421,5/15/2013,3,146.97,0,0,0,AA
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,M,421,5/15/2013,3,146.97,0,0,0,WB
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,M,421,5/15/2013,3,146.97,0,0,0,AAW
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,L,423,,1,48.99,0,0,0,AA
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,L,423,,1,48.99,0,0,0,NVL
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,L,423,,1,48.99,0,0,0,WB
